Description;demarche en ligne;compte ou espace personnel;telephone;e-mail;accueil;courrier;reseaux sociaux;Description_2;Description_3;clusters
cela fais 3 semaine j essaye d avoir un rendez vous par rapport a mon entreprise et etre conseiller par rapport au aide je prend enormement de retard sur mon projet   je vais aller voir lundi matin sur place et on verra si y ce bouge pas mieux  ;0;0;0;0;0;;;['retard', 'lund', 'verr', 'boug'];retard lund verr boug;-1
pourquoi  avoir supprime  la borne   pole emploi     comment  faire si on a plus de portable  pour s actualise  avez  vous pensez  au personnes  qui sont  en difficultes  en sachant  que cest meme  pas ouvert  les aprem  midi sauf  sur rendez vous          ;1;0;0;0;0;;;['born', 'portabl', 'ouvert', 'aprem'];born portabl ouvert aprem;0
agent du matin le 03 09 au premier guichet tres desagreable meprisante  prend de haut  nous venons faire valoir nos droits pas ce faire mal traite    a revoir merci ;0;0;0;0;0;;;['agent', '03', '09', 'guichet', 'mepris', 'haut', 'venon', 'valoir', 'revoir'];agent 03 09 guichet mepris haut venon valoir revoir;0
une etoille puisqu il n y en a pas moins  responsable qui vous meprise  par telephone et vous prend de haut   vraiment incroyable;0;0;1;0;0;;;['etoill', 'puisqu', 'respons', 'mepris', 'haut'];etoill puisqu respons mepris haut;-1
personnel qui vous meprise et vous prend de haut  ;0;0;0;0;0;;;['mepris', 'haut'];mepris haut;0
4 fois j ai du renvoyer un dossier 4 fois refuse  car le coin de la feuille etait legerement plie  ou quelques mots flou etc ca devient n importe quoi et tres complique pour envoyer un dossier  a l epoque on nous appelait quand ils avaient besoin d informations  la plus rien on vous laisse comme ca;1;0;0;0;0;;;['renvoi', 'dossi', 'coin', 'leger', 'pli', 'flou', 'dossi', 'epoqu', 'appel'];renvoi dossi coin leger pli flou dossi epoqu appel;0
accueil vraiment desagreable a vomir  fuyez  ;0;0;0;0;0;;;['vom', 'fui'];vom fui;0
je trouve dommage bien que ce ne soit pas evident d avoir des conseillers  qui seraient specialises dans des domaines bien precis   comme l industrie   le tertiaire   le batiment    les travaux publics l automobile  les transports ect   ce qui eviterait a des conseillers de proposer des formations sans meme connaitre le contenu des diplomes du demandeur d emploi ;0;0;0;0;0;;;['specialis', 'domain', 'prec', 'industr', 'tertiair', 'traval', 'automobil', 'transport', 'ect', 'format', 'connaitr', 'contenu'];specialis domain prec industr tertiair traval automobil transport ect format connaitr contenu;-1
mdr le pole emploi le plus decevant il ne t aide pas te suprimer toujours demande toujours des papiers il font genre de pas savoir ou trouver le domaine que vous souhaitez reellement faire et a la place il propose de la restauration apres ils se plaigne qu on vienne pas au rdv mes ces normal      vous nous prenez pour des con alors on fait de meme pour vous;0;0;0;0;0;;;['mdr', 'decev', 'suprim', 'restaur', 'plaign', 'vien', 'rdv', 'pren'];mdr decev suprim restaur plaign vien rdv pren;4
pour ma premiere inscription  j ai ete super bien assiste  merci;0;0;0;0;0;;;[];;0
les employes sont gentils et serviables ;0;0;0;0;0;;;['gentil', 'serviabl'];gentil serviabl;0
ne m ont aide en rien  ne trouvant pas ou peu de postes me correspondant  alors qu en cherchant de moi meme j en ai trouve une dizaine   aussi aimable et competent qu une huitre  c est malheureux ;0;0;0;0;0;;;['cherch', 'dizain', 'aimabl', 'competent', 'huitr'];cherch dizain aimabl competent huitr;-1
good;0;0;0;0;0;;;['good'];good;-1
pe laisse des annonces deja pourvues sur leur site pour faire croire qu il y a plein d emplois  c est bizarre  quand je me presente directement a l accueil d une entreprise  on m annonce qu ils ont deja trouve ;0;0;0;0;0;;;['pourvu', 'bizarr'];pourvu bizarr;0
tres reactifs;0;0;0;0;0;;;['reactif'];reactif;5
pole emploi inutile  conseiller inutile qui ne fait pas son travail et ose juger les gens et les ignorer  personne pour conseiller mais vous balade de droite a gauche  execrable  je suis choque de tant de manque de professionnalisme et d humanite;0;0;0;0;1;;;['ose', 'jug', 'ignor', 'balad', 'gauch', 'execr', 'choqu', 'professionnal', 'humanit'];ose jug ignor balad gauch execr choqu professionnal humanit;0
il vous invente des trop percus vous envoie baladee on vous donne des rdv pour rien  vous envoie en formation 3 jour pour creation de cv comme si nous etions des demeurer il respecte personne;0;0;0;0;0;;;['invent', 'percus', 'balade', 'rdv', 'format', 'etion', 'demeur', 'respect'];invent percus balade rdv format etion demeur respect;3
du personnel paye a rien faire  ils vivent de notre argent et vivent sur le peuple  je parle bien du personnel qualifie assis dans leurs bureaux  oui  vous  vous etes des rates de la societe ;0;0;0;0;1;;;['pay', 'vivent', 'argent', 'vivent', 'peupl', 'qualif', 'assis', 'bureau', 'rat'];pay vivent argent vivent peupl qualif assis bureau rat;-1
cer avis n a pas vraiment d utilite  sauf si consulte par les responsables   etant donne qu on ne peut choisir son agence  je n ai jamais vu une telle desorganisation et un tel manque de communication ;0;0;0;0;0;;;['cer', 'utilit', 'respons', 'tel', 'desorganis', 'tel'];cer utilit respons tel desorganis tel;-1
une institution a la traine avec les enjeux economiques et sociaux actuels  qui ne fait que perdre votre temps  un personnel depasse par certains petits elements juridiques  qui au lieu de demander ou poser des questions  s entete a regler ca tout seul et detruire votre projet ;0;0;0;0;0;;;['institu', 'train', 'enjeux', 'actuel', 'dep', 'element', 'jurid', 'pos', 'entet', 'detruir'];institu train enjeux actuel dep element jurid pos entet detruir;-1
tres bien;0;0;0;0;0;;;[];;0
bonjour  je trouve c est llent mais c est normal  ne sont pas professionnel;0;0;0;0;0;;;['llent'];llent;-1
incapable;0;0;0;0;0;;;[];;0
satisfait  un accueil correcte et bien renseigne ;0;0;0;0;1;;;['satisf', 'correct'];satisf correct;-1
ils m ont appele pour un rendez vous pour proposer des emplois sans rapport avec ma profession  ils ont refuse parce qu il n y avait pas de nom sur la liste sur la porte  l institution la plus stupide que j aie jamais vue de ma vie    ;0;0;0;0;1;;;['appel', 'profess', 'institu', 'stupid'];appel profess institu stupid;-1
que dire   un systeme a l abandon    un manque de personnel qui donne lieu a des situations conflictuelles et de desespoir  des contradictions un manque de suivi pas de communication entre les differents organismes pour les demandeurs d emploi  bref comptez sur vous meme;0;0;0;0;0;;;['system', 'abandon', 'conflictuel', 'desespoir', 'contradict', 'compt'];system abandon conflictuel desespoir contradict compt;1
j ai ai voulu  voir si tout le monde etait loge a la  meme enseigne  j ai tout do suite ete invite  a me mettre derriere la vitre  cette photo date du 25 aout vers 11h pour precision  si la hierarchie veut bien rappeler a ce  conseiller  qu il n y a pas de privilege a accorder aux demandeurs d emploi qu ils soient nigerien ou ukrainien ce serait juste rappeler les regles de l humanite   d egalite et autres   ;0;0;0;0;0;;;['log', 'enseign', 'do', 'invit', 'derrier', 'vitr', 'photo', '11h', 'hierarch', 'privileg', 'accord', 'nigerien', 'ukrainien', 'humanit', 'egalit'];log enseign do invit derrier vitr photo 11h hierarch privileg accord nigerien ukrainien humanit egalit;0
c est un tres bon lieu bon les recherches d emploi et pour etre informe bon personnel    ;0;0;0;0;0;;;[];;0
tres bien avec du personnel competent et sympathique et a l ecoute    ;0;0;0;0;1;;;['competent', 'sympath'];competent sympath;2
je met une etoile car on ne peut pas mettre deux etoiles  etant seule et ayant travailler six ans en tant qu aide soignante  j ai du m arreter pour des probleme de sante et le pole emploie ne m a pas super bien conseiller donc je suis actuellement endette pour ma nouvelle formation qui est soit disant pas financer et en plus de ca on vient de me radier du pole emploie car j ai louper un rendez vous dont je n avais meme pas connaissance   je ne sais pas ce qu est le but du pole emploie appart peut etre le suicide ou etre dehors clochard sans le meriter mais je regrette de ne pas travailler tout etais si simple j espere qu on va m aider au moin a recuperer mon indemnisation et pas me laisser comme quand j avais demander une aide au financement    enfin merci a eux ;0;0;0;0;0;;;['six', 'soign', 'sant', 'endet', 'format', 'financ', 'vient', 'radi', 'loup', 'but', 'appart', 'suicid', 'dehor', 'clochard', 'merit', 'moin', 'recuper', 'indemnis', 'financ'];six soign sant endet format financ vient radi loup but appart suicid dehor clochard merit moin recuper indemnis financ;0
un tres bon lieu pour etre informe et s informer   ;0;0;0;0;0;;;[];;0
je suis arrive a tarbes en esperant passer une formation pl avec pole emploi il mon envoye a l afftral qui qui informations n accepte aucune fille car c est un metier d homme donc vive le moyen age du coup j ai fait passer mon compte cpf pour pouvoir avancer car aucune possibilite avec pole emploi alors qui sont sense aider les gens pas a y rester apres avoir eu mon permis c il me manquait la fimo mais je n avais plus le financement pour je suis revenu vers pole emploi pour une aide qui a ete refusee encore et encore donc quand j entends le taux de chomeurs au jour d aujourd hui vous devriez vous renseigner le pourquoi du comment il reste encore des gens qui veulent travailler et s en sortir je vous dis pas merci car si un jour j y arrive sa sera pas grace a pole emploi je comprends les francais en colere  ;0;0;0;0;0;;;['tarb', 'format', 'pl', 'afftral', 'fill', 'homm', 'viv', 'compt', 'cpf', 'sens', 'fimo', 'financ', 'entend', 'taux', 'veulent', 'coler'];tarb format pl afftral fill homm viv compt cpf sens fimo financ entend taux veulent coler;3
lieu indique pour decrocher un emploi avec un accompagnement meticuleux  par des agents ayant une haute conscience professionnelle ;0;0;0;0;0;;;['decroch', 'meticul', 'agent', 'haut', 'conscienc'];decroch meticul agent haut conscienc;4
j  ai eu un entretien avec la conseiller et  a chaque fois que je lui est pose une question elle souffler derriere son telephone  franchement c est mal poli;0;0;1;0;0;;;['souffl', 'derrier'];souffl derrier;0
accueil sans rv le matin   reponse rapide aux problematiques rencontrees;0;0;0;0;0;;;['rv', 'repons', 'problemat', 'rencontre'];rv repons problemat rencontre;-1
une conseillere dont je ne donnerai pas le nom est capable de faire une synthese d entretien remplie de fautes d orthographe   de syntaxe et de fautes de frappe  une horreur a lire et en plus menteuse cette personne m affirme avoir envoye un document a remplir hors rien cette femme devrait changer de metier car son arrogance est insupportable ;0;0;0;0;0;;;['capabl', 'synthes', 'orthograph', 'syntax', 'frapp', 'horreur', 'menteux', 'affirm', 'docu', 'hor', 'femm', 'arrog', 'insupport'];capabl synthes orthograph syntax frapp horreur menteux affirm docu hor femm arrog insupport;-1
excellent;0;0;0;0;0;;;['excellent'];excellent;-1
a chaque fois que j ai eu affaire a eux ca etait toujours un combat car aucun le meme discours et surtout toujours pareil  meme juste pour une question indemnisation ils font des erreurs  je sature du pole emploi de terrasson;0;0;0;0;0;;;['affair', 'combat', 'discour', 'pareil', 'indemnis', 'satur', 'terrasson'];affair combat discour pareil indemnis satur terrasson;-1
pire prise en charge que j ai pu avoir ;0;0;0;0;0;;;[];;0
conseiller sandra schiavone  cre pole emploi nancy lefevre corcy  wagenmann l  radiation d une personne handicape      c est de la discrimination bonne reception ;0;0;0;0;0;;;['sandr', 'schiavon', 'nancy', 'lefevr', 'corcy', 'wagenmann', 'handicap', 'discrimin'];sandr schiavon nancy lefevr corcy wagenmann handicap discrimin;-1
fermer le jeudi 21 septembre travaux alors que sur google ecrit ferme a 12h30   ;1;0;0;0;0;;;['ferm', 'jeud', '21', 'traval', 'googl', 'ferm', '12h30'];ferm jeud 21 traval googl ferm 12h30;0
interlocutrice   stivalet veronique   merci encore pour votre competence  reactivite et ecoute  je suis tres satisfait de votre prise en charge du dossier bonne continuation;0;0;0;0;1;;;['interlocutric', 'stivalet', 'veron', 'competent', 'reactivit', 'satisf', 'dossi'];interlocutric stivalet veron competent reactivit satisf dossi;5
j ai eu la chance d avoir ete dirige par une conseillere au top et a l ecoute  merci a mme nadia c ;0;0;0;0;0;;;['dirig', 'top', 'mme', 'nadi'];dirig top mme nadi;0
le service entreprise est vraiment top  reponse dans la minute  personnel competent  sympathique et de bons conseils  annonce postee modifiee annulee dans la minute  dieu sait qu on peut souvent se plaindre de l administration  mais quand le job est bien fait il faut savoir le reconnaitre et la c est le cas ;1;0;0;0;0;;;['top', 'repons', 'competent', 'sympath', 'poste', 'modifie', 'annule', 'dieu', 'plaindr', 'administr', 'job', 'reconnaitr'];top repons competent sympath poste modifie annule dieu plaindr administr job reconnaitr;-1
rarement eu un contact avec une conseillere pole emploi  aussi humaine et comprehensive   mme nomblot bertrand  contrairement a ce que j ai pu lire  plutot des facilites d echange de mon cote ;0;0;0;0;0;;;['rar', 'contact', 'comprehens', 'mme', 'nomblot', 'bertrand'];rar contact comprehens mme nomblot bertrand;0
avant ma creation d entreprise  donc sans emploi  je recevais mes indemnisations correctement  depuis que j ai cree mon entreprise  donc maintenant j ai un emploi je trouve important de le preciser  je n ai jamais autant galerer pour recevoir mes indemnisations  a par les appeler tous les mois et se battre avec eux pour recevoir l argent qui nous est du je trouve cela inadmissible et je perd de plus en plus patience chaque mois leur excuse   manque de personnel    alors d accord sauf qu on a tous des choses a payer tous les mois et recevoir ses indemnisations le 20 du mois alors qu on envoi les documents a temps  ils ne les prennent pas en compte la plupart du temps et ne nous previennent meme pas  tout ca pour dire que c est la seule agence qui fait ce genre de choses car pour avoir 2 personnes autour de moi dans la meme situation professionnelle et etant sur les agences de bourg et oyonnax elles ont toujours ete payees a temps  quand on essaye de les appeler on nous dit temps d attente 1min et personne ne repond  mais est ce etonnant   pas vraiment  cela reflete bien l agence ;0;0;1;0;0;;;['recev', 'indemnis', 'galer', 'indemnis', 'appel', 'battr', 'argent', 'inadmissibl', 'perd', 'patienc', 'accord', 'pai', 'indemnis', 'docu', 'prennent', 'compt', 'plupart', 'previennent', 'autour', 'bourg', 'oyonnax', 'paye', 'appel', '1min', 'eton', 'reflet'];recev indemnis galer indemnis appel battr argent inadmissibl perd patienc accord pai indemnis docu prennent compt plupart previennent autour bourg oyonnax paye appel 1min eton reflet;0
nul  sonette marche pas  en arret maladie  veulent etres  payes a rien faire  ne payez plus vos impots ;0;0;0;0;0;;;['sonet', 'malad', 'veulent', 'etre', 'pay', 'pai', 'impot'];sonet malad veulent etre pay pai impot;-1
de tres tres mauvais conseillers  aucun serieux dans cette agence  ne font pas ce que vous leur demander alors que vous reclamer vos propres droits   ;0;0;0;0;0;;;['mauv', 'reclam', 'propr'];mauv reclam propr;-1
de l incompetence pur et dur  c est pas bien ce que vous faites ;0;0;0;0;0;;;['incompetent', 'pur'];incompetent pur;1
si vous voulez galerer plus de 4 mois a avoir votre allocation et encore je l ai toujours pas recu car a chaque fois qu on me demande un documents manquant que je le transmet on m en redemande un autre  j ai envoye mon attestation employeur  regroupant toute l annee  on me demande un bulletin de salaire pour mai  des conseilleres pourri qui te disent au rendez vous oui votre dossier est complet mais que dale  faudrait leur porter une pleine envers eux a plusieurs donc si vous etes de mon avis contacter moi  quelqu un de seultils feront absolument rien et trouveront des excuses;0;1;0;0;1;;;['galer', 'alloc', 'docu', 'transmet', 'redemand', 'attest', 'employeur', 'regroup', 'bulletin', 'salair', 'disent', 'dossi', 'dal', 'plein', 'enver', 'contact', 'seultil', 'feront'];galer alloc docu transmet redemand attest employeur regroup bulletin salair disent dossi dal plein enver contact seultil feront;0
ne respectent pas les gens  au telephone on entendait les rires des collegues  c est le centre aere ;0;0;1;0;0;;;['respectent', 'entend', 'rir', 'collegu', 'aer'];respectent entend rir collegu aer;-1
tres mauvais suivi de la part de ma conseillere mme cecile nomblot bertrand  et lorsque vous faites des reclamations a sa hierarchie mme audrey soufflet  ce n est absolument pas pris en compte   dommage  qu on ne puisse mettre  0  mais vraiment  j ai rarement vu autant  de  peu de profressionalisme;0;0;0;0;0;;;['mauv', 'mme', 'cecil', 'nomblot', 'bertrand', 'reclam', 'hierarch', 'mme', 'audrey', 'soufflet', 'compt', 'rar', 'profressional'];mauv mme cecil nomblot bertrand reclam hierarch mme audrey soufflet compt rar profressional;0
le service pole emploi n est pas serieux  en ce qui me concerne  je constate qu ils ne font pas vraiment leur travail  jusqu a present  je n ai toujours pas recu de proposition de candidat ;0;0;0;0;0;;;[];;0
que des incompetent qui ne sont pas capable de t aider a creer ton dossier du moment qu il ai un peu complexe  j ai l impression qu il font tout pour ne pas vous donner vos droit et a vous radier pour rien    je me suis fait radier pour rdv atelier alors que j avais prevenu ma conseillere 1 semaine auparavant avec attestation   enfin bref sa va faire plus de 8 mois que je vie sur mes cote  alors que j ai cotiser    ;0;0;0;0;0;;;['incompetent', 'capabl', 'dossi', 'impress', 'radi', 'radi', 'rdv', 'ateli', 'prevenu', 'auparav', 'attest'];incompetent capabl dossi impress radi radi rdv ateli prevenu auparav attest;-1
dame a l accueil tres desagreable  mal eduquee  elle parle tres mal  je me demande si elle est la pour aider les personnes dans le besoin et de les orienter ou le contraire ;0;0;0;0;1;;;['eduque', 'orient'];eduque orient;-1
impossible de les joindre par mail ou par telephone  j en ai plus qu assez de devoir constamment les contacter pendant 3 semaines ou plus pour un probleme qui peut se resoudre en 5 minutes  merci de bien vouloir nous notifier quand un e conseiller e part en vacances  puisque ceux ci ne prendront pas la peine de vous repondre   ps   j attends toujours au telephone apres 3 semaines   ;0;0;1;1;0;;;['const', 'contact', 'resoudr', 'vouloir', 'notifi', 'e', 'e', 'vacanc', 'prendront', 'p', 'attend'];const contact resoudr vouloir notifi e e vacanc prendront p attend;0
ne pouvant mettre 0  inscription le 19mai  debut d indemnisation au 14 juin  toujours rien recu le 12 juillet  de nombreux mails envoyes a ma  referente  indemnisation depuis le 04 juillet toujours sans reponse  c est drole de lire qu une reponse sera donnee dans les 48h ouvrees  quand j appelle le 3949 que j ai a attendre 14 minutes ou 7 minutes au final tous les conseillers sont en ligne  je laisse un message vocal  avec une reponse sous 24h de ma conseillere referente    toujours rien     pendant ce temps la tous mes paiements refuses  aucune indication sur qui  quoi  comment  et c est ca le pire   la seule chose positive  une dame excessivement gentille lors de ma venue a l agence mais helas cette adorable femme ne peut remonter le niveau deplorable et le  j m en foutisme  dont font preuve d autres conseillers eres  alors que les allocataires se retrouvent dans des me des inimaginables    pathetique et tres enervant    ;0;0;1;0;0;;;['19mai', 'indemnis', '14', 'juin', 'juillet', 'indemnis', '04', 'juillet', 'repons', 'drol', 'repons', 'donne', '48h', 'ouvre', 'appel', '3949', '14', 'vocal', 'repons', '24h', 'pai', 'excess', 'gentill', 'venu', 'hel', 'ador', 'femm', 'remont', 'deplor', 'foutism', 'ere', 'allocatair', 'retrouvent', 'inimagin', 'pathet', 'enerv'];19mai indemnis 14 juin juillet indemnis 04 juillet repons drol repons donne 48h ouvre appel 3949 14 vocal repons 24h pai excess gentill venu hel ador femm remont deplor foutism ere allocatair retrouvent inimagin pathet enerv;0
merci a marie helene pour sa reactivite  disponibilite et gentillesse  je me suis sentie soutenue et comprise ;0;0;0;0;1;;;['helen', 'reactivit', 'disponibilit', 'gentilless', 'soutenu', 'compris'];helen reactivit disponibilit gentilless soutenu compris;5
personnels tres agreables et tres competents  malgre un probleme tres complique  la personne a rapidement contacte son superieur qui a fait le necessaire pour comprendre ce qui se passait  elle m a donne toutes les reponses et fait suivre mon dossier au niveau national en priorite pour que je puisse etre indemnise rapidement ;0;0;0;0;0;;;['competent', 'contact', 'superieur', 'repons', 'dossi', 'national', 'priorit', 'indemnis'];competent contact superieur repons dossi national priorit indemnis;-1
faut vraiment pas compter sur ce pole emploi pour trouver un job ou pour resoudre vos problemes de paprasse  personnel vraiment incompetent et mal former  on se demande parfois a quoi ils servent vraiment ;0;0;0;0;0;;;['compt', 'job', 'resoudr', 'papr', 'incompetent'];compt job resoudr papr incompetent;1
de gentils incompetents   heuresement qu ils sont souriants et plutot serviables   mais niveau efficacite   reactivite   c est vraiment a revoir  ne comptez pas sur eux pour retrouver un emploi   pire   meme quand vous en trouvez  leurs manquements et leurs negligences feront que vous passerez a cote de l opportunite parce qu ils ont juste oublie d actualiser le titre de sejour qu il leur a ete transmis en amont      ;0;0;0;0;1;;;['gentil', 'incompetent', 'heures', 'souri', 'serviabl', 'efficacit', 'reactivit', 'revoir', 'compt', 'negligent', 'feront', 'opportunit', 'sejour', 'amont'];gentil incompetent heures souri serviabl efficacit reactivit revoir compt negligent feront opportunit sejour amont;-1
contact facile  les conseillers sont reactifs et les explications clairs  ;0;0;0;0;0;;;['contact', 'reactif', 'clair'];contact reactif clair;0
impossible de voir son conseiller;0;0;0;0;0;;;[];;0
manque chronique de personnel  aucune reactivite  je suis inscrit depuis 1 an et je n ai pas encore rencontre mon conseiller   ;0;0;0;0;0;;;['chroniqu', 'reactivit', 'inscrit'];chroniqu reactivit inscrit;5
j envoie un courrier important pour que 5 jours plus tard je recois le courrier que j avais envoye sans aucune explication ni comprehension   comme ca  jamais vue ca de ma vie ;0;0;0;1;0;;;['courri', 'courri'];courri courri;0
i visited today and mr bruno and lady on the fiarst counter was extremely helpful and kind   bruno speaks well english he is life saver   ;0;0;0;0;0;;;['i', 'visited', 'today', 'and', 'mr', 'bruno', 'and', 'lady', 'the', 'fiarst', 'count', 'was', 'extremely', 'helpful', 'and', 'kind', 'bruno', 'speak', 'wel', 'english', 'he', 'is', 'lif', 'sav'];i visited today and mr bruno and lady the fiarst count was extremely helpful and kind bruno speak wel english he is lif sav;-1
depuis le debut de ma rupture conventionnelle de fin janvier 2023  je vis un veritable calvaire avec les services de pole emploi  en effet  des le debut je ne pouvais beneficier de ma portabilite de mutuelle face aux attentes des documents attendus par la mutuelle du pole emploi  dernier are actualise demande par mutuelle mais pole emploi ne peut que transmettre are calcule sur mon  precedent emploi qui date de 2021 car pas d ecart de 30  salaire et je suis reste inscrit au pole emploi  j aurais du me desinscrire avant la rupture      et maintenant suite a mon depart en periode d essai dernierement d un nouvel emploi qui ne respectait pas les clauses contractuels de mon contrat de travail  on me stipule que je ne pourrais plus beneficier d allocations au chomage car je justifie de plus de 65 jours et plus de 455 heures travaille face a l are de 2021 donc je ne fais pas parti des exceptions en tant que demissionnaire etonnant car depuis la rupture conventionnelle de fin janvier 2023  j ai travaille 8 jours   je n evoque pas non plus le site qui n est pas adapte aux intitules des documents transmis par voie digitale sans compter les bugs et site en maintenance donc non accessible  je travaille depuis l age de 18 ans et je n ai jamais percu d allocations chomage a ce jour  j ai une sensation que l on essaie de demoraliser les gens dans une periode difficile dans le but de desservir ces derniers  peut etre une volonte d economie sur les aides aux francais ;0;0;0;0;0;;;['conventionnel', 'calvair', 'portabilit', 'mutuel', 'fac', 'docu', 'attendus', 'mutuel', 'mutuel', 'ecart', 'salair', 'inscrit', 'desinscrir', 'dernier', 'respect', 'claus', 'contractuel', 'contrat', 'stipul', 'alloc', 'chomag', 'justif', '65', '455', 'fac', 'part', 'except', 'demissionnair', 'eton', 'conventionnel', 'evoqu', 'intitul', 'docu', 'digital', 'compt', 'bug', 'mainten', 'accessibl', '18', 'alloc', 'chomag', 'sensat', 'demoralis', 'but', 'desserv', 'derni', 'volont'];conventionnel calvair portabilit mutuel fac docu attendus mutuel mutuel ecart salair inscrit desinscrir dernier respect claus contractuel contrat stipul alloc chomag justif 65 455 fac part except demissionnair eton conventionnel evoqu intitul docu digital compt bug mainten accessibl 18 alloc chomag sensat demoralis but desserv derni volont;0
je suis passe ce matin    sans rdv   pour demander les documents de l  annee 2008  ca passe tres bien et l  accueil est tres sympathique  merci     ;0;0;0;0;1;;;['rdv', 'docu', '2008', 'sympath'];rdv docu 2008 sympath;2
pole emploi torcy est a grande arnaque;0;0;0;0;0;;;['torcy', 'arnaqu'];torcy arnaqu;0
pole emploi de torcy   ne sont pas la pour aider les gens  ils sont la uniquement dans le bute de les broyer moralement  si vous cherchez le salut passer votre chemin   cela serait bien meilleur pour vous;0;0;0;0;0;;;['torcy', 'but', 'broi', 'moral', 'cherch', 'salut', 'chemin', 'meilleur'];torcy but broi moral cherch salut chemin meilleur;0
j ai passe mon premier rendez vous avec ce pole emploi   tout etait genial  la conseillere et la dame qui etait en stage pour devenir conseillere  les deux etaient au top   elles m ont informes de tout les details de ma demande d emploi et m ont adresses vers les organismes specialises de mon recherche  merci pour votre attention et bienveillance toutes les deux ;0;0;0;0;1;;;['genial', 'deven', 'top', 'specialis'];genial deven top specialis;0
travaillent avec l hopital de jossigny et en reseaux;0;0;0;0;0;;;['travaillent', 'hopital', 'jossigny', 'reseau'];travaillent hopital jossigny reseau;-1
jeune femme a l accueil est au telephone et raconte sa vie prive qui est entendu par l ensemble des usagers et refuse d aider les personnes qui ne savent pas utiliser un ordinateur  du grand n importe quoi;0;0;0;0;1;;;['jeun', 'femm', 'racont', 'entendu', 'ensembl', 'usager', 'savent'];jeun femm racont entendu ensembl usager savent;-1
personne a l accueil;0;0;0;0;0;;;[];;0
premiere fois que j experimente le fait de me faire cracher dessus a travers un telephone  on arrete pas le progres ;0;0;1;0;0;;;['experiment', 'crach', 'dessus', 'traver', 'progr'];experiment crach dessus traver progr;-1
si je pouvais mettre aucune etoile je le ferais  la personne a l accueil a ete tres agreable  cependant le conseiller mohamed b est tres irrespectueux voire meme a un comportement discriminatoire  des paroles tres crues et tres deplacees venant d un   conseiller    il faut apprendre a garder sa place et se taire  il prend de haut et se moque de ce que vous souhaitez  son objectif est de vous casser  quelle honte  pour une administration ;0;0;0;0;1;;;['cepend', 'mohamed', 'b', 'irrespectu', 'discriminatoir', 'parol', 'cru', 'deplace', 'apprendr', 'gard', 'tair', 'haut', 'moqu', 'object', 'cass', 'administr'];cepend mohamed b irrespectu discriminatoir parol cru deplace apprendr gard tair haut moqu object cass administr;0
je rejoins les avis precedents  les   conseillers    notamment monsieur mohamed b ne respectent pas les gens  impossible de les contacter ou d obtenir un rendez vous car en effet cette personne ne prend pas la peine d etudier mes mails en cloturant la conversation systematiquement   radiations a tout va et l accueil au sein de cette agence est deplorable  si je retrouve du travail ce ne sera pas grace a vous car le suivi est nul;0;0;0;1;1;;;['rejoin', 'mohamed', 'b', 'respectent', 'contact', 'etudi', 'clotur', 'radiat', 'sein', 'deplor'];rejoin mohamed b respectent contact etudi clotur radiat sein deplor;-1
catastrophe aucune communication et vos indemnisations ne sont pas verse a temps   1 mois et demi d attente   ;0;0;0;0;0;;;['indemnis', 'dem'];indemnis dem;-1
la conseillere au top     elle m a donnee les meilleurs conseils   j admire vraiment cette femme    licenciee depuis peu depuis plus de 20 ans de travail   j etais vraiment mal   elle ma redonnee confiance    ;0;0;0;0;1;;;['top', 'donne', 'meilleur', 'admir', 'femm', 'licencie', 'redonne'];top donne meilleur admir femm licencie redonne;0
la conseillere incompetente ne sachant pas ce que c est une poei et une poec  c est aberrant de voir ca  de plus les rendez vous ne servent strictement a rien car je n ai absolument pas besoin de perdre 1 heure juste pour que la conseillere regarde un ecran ;0;0;0;0;1;;;['incompetent', 'poei', 'poec', 'aberr', 'strict', 'regard', 'ecran'];incompetent poei poec aberr strict regard ecran;-1
les personnes travaillant dans cet etablissement n ont absolument aucun respect pour les personnes  je me suis faite envoyee baladee au telephone  puis lors de mon premier rdv ont a voulu me des inscrire   pourquoi  je ne saurai jamais  premier rdv telephonique pendant la periode du confinement  ma conseillere me dit que mon metiers ne sert a rien  personnel condescendant  qui n aime pas les gens et encore moins les aider  a mon avis c est eux qui devrait changer de metier ;0;0;1;0;0;;;['etabl', 'respect', 'envoye', 'balade', 'rdv', 'saur', 'rdv', 'confin', 'condescend'];etabl respect envoye balade rdv saur rdv confin condescend;0
personnes agreables  propre ;0;0;0;0;0;;;['propr'];propr;-1
documents demandes deposes en main propre et oh refuses ensuite  motif trop elements ensemble          renvoyes un par un par via le site et toujours pas traites   cela fait 15 jours qu on me balade et les justificatifs sont donnes      ;1;0;0;0;0;;;['docu', 'main', 'propr', 'oh', 'element', 'ensembl', 'renvoy', 'balad', 'justif'];docu main propr oh element ensembl renvoy balad justif;0
vous radient alors que vous travaillez  vous doivent des mensualites mais devait menacer pour les percevoir   agence plus que negative  ;0;0;0;0;0;;;['radient', 'mensualit', 'percevoir'];radient mensualit percevoir;0
jorie est d une competence comme rarement on trouve de nos jours  disponible  il sait repondre a vos attentes  bonne continuation l ami     ;0;0;0;0;0;;;['jor', 'competent', 'rar', 'ami'];jor competent rar ami;0
des bon a rien qui donne des sous en debut de moi et a la fin du moi qui les raclement;0;0;0;0;0;;;['racl'];racl;0
